video_name,robot_on_which_side
attempt_1_ac73a5e8-eeeb-4fab-ac3b-13c0ebf1a72d_MP1.mp4,right
attempt_1_f647d809-d0f0-4285-8212-f6da13e4c9c4_MP1.mp4,right
attempt_1_436ee362-1301-474e-b115-bc14c31b9695_MP1.mp4,right
attempt_1_4d56005f-6deb-4bf3-83f3-7ccbc013307f_MP1.mp4,right
attempt_1_34e718d4-db51-4899-9328-651705fb6326_MP2.mp4,left
attempt_1_9aca6268-1909-4319-a8bf-db80ee881706_MP2.mp4,left
attempt_1_34cded08-95bf-4dcc-97da-197e2b8cf527_MP1.mp4,right
attempt_1_a2aef8b4-f208-4683-838c-42c890b57b41_MP2.mp4,left
attempt_1_710dc0fe-2af9-4006-9ecc-7e1512afb705_MP1.mp4,right
attempt_1_621cc93b-fe4d-4c79-8121-e584f6fb095f_MP1.mp4,right
attempt_1_a1ae56c8-9d0a-4b8a-92b1-d00f44c36f6f_MP1.mp4,right
attempt_1_3339d3ef-2225-4d35-8b62-2ef4e8515ded_MP2.mp4,left
attempt_1_e3a23632-3ed9-4cd8-a72f-7395307dbf2f_MP1.mp4,right
attempt_1_867f7ccf-32ad-4a75-984d-bf633d146011_MP2.mp4,left
attempt_1_4c8de9f0-0a92-43ec-a621-d86ba1e678bf_MP1.mp4,right
attempt_1_fe10aa2f-0a4e-4e0b-8c77-2de4851284b7_MP1.mp4,right
attempt_1_4093f411-fc49-4908-8426-72e3390703cf_MP2.mp4,left
attempt_1_fcb420b4-9855-4e5d-a4af-57de96accb7d_MP1.mp4,right
attempt_1_09f3df93-3aba-4692-936b-0d8f328e76f8_MP2.mp4,left
attempt_1_603d2103-31ca-4bbb-960e-994f60b86c78_MP2.mp4,left
attempt_1_75a9a2db-0088-4da2-9ccf-dd2b4da52c6a_MP2.mp4,left
attempt_1_07920a23-f02d-4602-82c2-2410f61775c5_MP2.mp4,left
